"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Mar 02 22:42:06 ICT 2024","Sat Mar 02 22:42:06 ICT 2024","0","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Then Annisa should see the products sorted by ""Price (low to high)""",""
"passed","Sat Mar 02 22:41:53 ICT 2024","Sat Mar 02 22:41:54 ICT 2024","1439","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","When Annisa login with ""standard_user"" credential",""
"passed","Sat Mar 02 22:41:56 ICT 2024","Sat Mar 02 22:41:56 ICT 2024","1","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","",""
"passed","Sat Mar 02 22:41:31 ICT 2024","Sat Mar 02 22:41:33 ICT 2024","1647","","Swag Labs - Login - Negative: As a locked_out_user, I should get error message","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","134","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product details page",""
"skipped","Sat Mar 02 22:41:23 ICT 2024","Sat Mar 02 22:41:23 ICT 2024","1","","Swag Labs - Login - Positive: As a standard_user, I want to log in successfully","","","","And Annisa should see home page",""
"passed","Sat Mar 02 22:42:05 ICT 2024","Sat Mar 02 22:42:07 ICT 2024","2449","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","Given Annisa is on the login page",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","119","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Given Annisa is on the cart page",""
"passed","Sat Mar 02 22:42:08 ICT 2024","Sat Mar 02 22:42:09 ICT 2024","264","","Product Filtering by Price Low to High: Annisa filters products by price low to high","","","","When Annisa filters products by ""Price (low to high)""",""
"passed","Sat Mar 02 22:41:55 ICT 2024","Sat Mar 02 22:41:55 ICT 2024","2","","Swag Labs - Add cart to checkout: Annisa purchases a product","","","","Then Annisa should see the product in the cart",""
